Name,Count,Species,Length
Barra,1,Dog,5
Barratt,1,Dog,7
Barrett,1,Dog,7
Barron,2,Dog,6
Barry,15,Dog,5
Bart,10,Dog,4
Bart 3rd,1,Dog,8
Bartimeus (Bart),1,Dog,16
Bartley,1,Dog,7
Bartoc,1,Dog,6
Barty,1,Dog,5
Base,1,Dog,4
Basie,1,Dog,5
Basil,53,Dog,5
Basje,1,Dog,5
Bass,2,Dog,4
Bassa,1,Dog,5
Bassey,1,Dog,6
Basteyn,1,Dog,7
Bastian,3,Dog,7
Bastien,1,Dog,7
Bastion,1,Dog,7
Bates,1,Dog,5
Bau,1,Dog,3
Bauer,2,Dog,5
Baulder,1,Dog,7
Bawse,1,Dog,5
Baxta,5,Dog,5
Baxter,66,Dog,6
Bay,1,Dog,3
Bayah,1,Dog,5
Bayle,1,Dog,5
Baylee,1,Dog,6
Bayley,2,Dog,6
Baylie,1,Dog,6
Baysey,1,Dog,6
Baz,3,Dog,3
Bazcal,1,Dog,6
Bazil,5,Dog,5
Bazz,1,Dog,4
Bazza,3,Dog,5
Bazzle,1,Dog,6
BB,3,Dog,2
Bea,3,Dog,3
Beama,1,Dog,5
Beamer,1,Dog,6
Beamish,1,Dog,7
Bean,2,Dog,4
Beanie,1,Dog,6
Bear,93,Dog,4
Bear Gibbs,1,Dog,10
Bear Grills,1,Dog,11
Beasley,1,Dog,7
Beast,1,Dog,5
Beatrice,1,Dog,8
Beatrix,1,Dog,7
Beattie,1,Dog,7
Beau,96,Dog,4
Beauty,4,Dog,6
BEAUX,1,Dog,5
Beavis,2,Dog,6
Beba,1,Dog,4
Bebe,3,Dog,4
Bebop,1,Dog,5
Beccy Lee,1,Dog,9
BECKETT,1,Dog,7
Beckham,3,Dog,7
Becks,2,Dog,5
Becky,10,Dog,5
Bede,1,Dog,4
Bee,1,Dog,3
Bee Dee,1,Dog,7
Bee Jay,1,Dog,7
Beefy,1,Dog,5
Beejay,1,Dog,6
Beema,2,Dog,5
Beemo,1,Dog,5
Beeswax,1,Dog,7
Beethoven,7,Dog,9
Beetle,1,Dog,6
Beezel,1,Dog,6
Beggie,1,Dog,6
BeJay,1,Dog,5
Bekky,1,Dog,5
Bel,1,Dog,3
Bela,2,Dog,4
Bele,1,Dog,4
Bell,7,Dog,4
Bella,729,Dog,5
Bella Bear,1,Dog,10
Bella Boo,1,Dog,9
Bella Grace,1,Dog,11
Bella Lynda,1,Dog,11
Bella Maria,1,Dog,11
Bella Rose,4,Dog,10
Bella Sophia,1,Dog,12
Bella-Ella,1,Dog,10
Bella-Lilly,1,Dog,11
Bella-Rose,1,Dog,10
Bella*,1,Dog,6
Belladonna,1,Dog,10
Bellah,1,Dog,6
Bellamy,1,Dog,7
Bellatrix,1,Dog,9
Belle,57,Dog,5
Belle Precious,1,Dog,14
Bellee (Belly),1,Dog,14
Bello,1,Dog,5
Ben,54,Dog,3
Bender,2,Dog,6
Bendigo,1,Dog,7
Bengi,1,Dog,5
Bengy,1,Dog,5
Beni,2,Dog,4
Benito,1,Dog,6
Benjamin,5,Dog,8
Benjamine,1,Dog,9
Benjee,1,Dog,6
Benji,71,Dog,5
Benji Button,1,Dog,12
Benjie,3,Dog,6
Benjii,1,Dog,6
Benjj,1,Dog,5
Benjy,1,Dog,5
Bennett,1,Dog,7
Benni,3,Dog,5
Benny,33,Dog,5
Benny (Ben),1,Dog,11
Benny Jnr,1,Dog,9
Benson,27,Dog,6
Bent-Lee,1,Dog,8
BENTLEIGH,1,Dog,9
Bentley,27,Dog,7
Bently,1,Dog,6
Benton,1,Dog,6
Berg,1,Dog,4
Berkley,1,Dog,7
Bernie,5,Dog,6
Berri,1,Dog,5
Berry,1,Dog,5
BERT,4,Dog,4
Bertie,3,Dog,6
Berty,1,Dog,5
Bess,23,Dog,4
Bessi,1,Dog,5
Bessie,16,Dog,6
Bessie Angel,1,Dog,12
BESSY,2,Dog,5
Bestra,1,Dog,6
Beth,2,Dog,4
Betsy,8,Dog,5
Bette,1,Dog,5
Bettie,1,Dog,6
Betty,22,Dog,5
Bev,1,Dog,3
Bevis,1,Dog,5
Bex,1,Dog,3
BHOY,1,Dog,4
Biagio,1,Dog,6
Bianca,2,Dog,6
Bibble,1,Dog,6
Bic,1,Dog,3
Bickie,1,Dog,6
Bickies,1,Dog,7
Biddy,2,Dog,5
Biddy Joy,1,Dog,9
Biff,2,Dog,4
Big Dog,1,Dog,7
Big Kev,1,Dog,7
Big Ronnie,1,Dog,10
Biggie,3,Dog,6
Biggles,7,Dog,7
Bijou,1,Dog,5
Bikkie,1,Dog,6
Bilbi,1,Dog,5
Bilbo,2,Dog,5
Bilko,1,Dog,5
Bill,10,Dog,4
Billee,1,Dog,6
Billi,4,Dog,5
Billie,48,Dog,6
Billie Bob,1,Dog,10
Billy,122,Dog,5
Billy Bob,3,Dog,9
Billy Boy,1,Dog,9
Billy Felthouse,1,Dog,15
Billy J Blue,1,Dog,12
Billy-Joe,1,Dog,9
Bindi,59,Dog,5
Bindi (Indi),1,Dog,12
Bindi Eye,1,Dog,9
Bindi-Lee,1,Dog,9
Bindie,3,Dog,6
Bindii,1,Dog,6
Bindy,8,Dog,5
Bing,2,Dog,4
Binga,2,Dog,5
Bingle,2,Dog,6
Bingley,1,Dog,7
Bingo,5,Dog,5
Binka,1,Dog,5
Binks,1,Dog,5
Binky,1,Dog,5
Binny,1,Dog,5
Bintang,1,Dog,7
Binty,1,Dog,5
Bipi,1,Dog,4
Birdie,2,Dog,6
Birdy,1,Dog,5
Birichina,1,Dog,9
Biscuit,18,Dog,7
Biscuits,1,Dog,8
Bisky,1,Dog,5
Bitchy,1,Dog,6
Bitty,2,Dog,5
Bixby,1,Dog,5
Bizkit,1,Dog,6
Bizz,1,Dog,4
BJ,15,Dog,2
Black Betty,1,Dog,11
Black Jack,1,Dog,10
Black Labbath,1,Dog,13
Blackey,1,Dog,7
Blackie,8,Dog,7
Blackwood,1,Dog,9
Blacky,10,Dog,6
Blade,4,Dog,5
Blaize,1,Dog,6
Blake,5,Dog,5
Blanche,2,Dog,7
Blanka,1,Dog,6
Blayne,1,Dog,6
Blaze,11,Dog,5
Blazer,2,Dog,6
Bleezie,1,Dog,7
Bleky,1,Dog,5
Bling,1,Dog,5
Blinky,1,Dog,6
Blinky Bill,1,Dog,11
Bliss,3,Dog,5
Blitz,2,Dog,5
Blitzen,1,Dog,7
Blizzard,2,Dog,8
Bloke,2,Dog,5
Blondie,5,Dog,7
Blossom,9,Dog,7
Blossum,1,Dog,7
Blu,2,Dog,3
Blue,17,Dog,4
Blue Bell,1,Dog,9
Blue Blue,1,Dog,9
Blue Boy,1,Dog,8
Blue Ribbon,1,Dog,11
Bluebird,1,Dog,8
Bluey,12,Dog,5
Bo,19,Dog,2
Bo Bo,1,Dog,5
Bo Sun,1,Dog,6
Bo-Daisy,1,Dog,8
Bo-Dette,1,Dog,8
Boa,1,Dog,3
Boadie,1,Dog,6
Boag,1,Dog,4
Boags,3,Dog,5
Boau,1,Dog,4
Bob,49,Dog,3
Bob the Builder,1,Dog,15
Boba,1,Dog,4
Bobbi,2,Dog,5
Bobbi - Sox,1,Dog,11
Bobbie,13,Dog,6
Bobby,88,Dog,5
Bobby Bear,1,Dog,10
Bobby McGee,1,Dog,11
Bobi,1,Dog,4
Bobo,3,Dog,4
Boby,1,Dog,4
Bocce,1,Dog,5
Boddington,1,Dog,10
Boddy,1,Dog,5
Bodey,1,Dog,5
Bodhi,8,Dog,5
Bodi,1,Dog,4
Bodie,11,Dog,5
Bodie (Vegas),1,Dog,13
Bodo,1,Dog,4
Boe,3,Dog,3
Bogart,1,Dog,6
Boggie,2,Dog,6
Boggsy,1,Dog,6
Bohoi,1,Dog,5
Bojangles (Bo),1,Dog,14
Bojo,1,Dog,4
Bok,1,Dog,3
Bolli,1,Dog,5
Bolly,1,Dog,5
Bolt,9,Dog,4
Bolto,1,Dog,5
Bomba,2,Dog,5
Bombah,1,Dog,6
Bomber,14,Dog,6
Bon,2,Dog,3
Bon Bon,1,Dog,7
Bon Bon Magoo,1,Dog,13
Boncheeta,1,Dog,9
Bondi,2,Dog,5
Bones,3,Dog,5
Boney,1,Dog,5
Bong,1,Dog,4
Bongi,1,Dog,5
Bongo,2,Dog,5
Boni,2,Dog,4
Bonita (Bonnie),1,Dog,15
Bonja,1,Dog,5
Bonkers,3,Dog,7
Bonney,1,Dog,6
BONNI,2,Dog,5
Bonnie,228,Dog,6
Bonnie Doon,1,Dog,11
Bonny,18,Dog,5
Bono,2,Dog,4
Bonsai,1,Dog,6
Bonus,1,Dog,5
Bony,1,Dog,4
Bonza,1,Dog,5
Boo,18,Dog,3
Boo Boo,5,Dog,7
BooBoo,2,Dog,6
Boof,49,Dog,4
Boofa,6,Dog,5
Booff,1,Dog,5
Boofy,2,Dog,5
Booga,1,Dog,5
Boogie,2,Dog,6
Booh,1,Dog,4
Booie,1,Dog,5
Booker,1,Dog,6
Booma,1,Dog,5
Boomar,1,Dog,6
Boomer,10,Dog,6
BOON,1,Dog,4
Boondi,1,Dog,6
Boonie,1,Dog,6
Booster,1,Dog,7
Boot's,1,Dog,6
Bootle Eagle,1,Dog,12
Boots,14,Dog,5
Bootsie,1,Dog,7
Bootsy,1,Dog,6
BOOTY,1,Dog,5
Booza,1,Dog,5
Boozer,1,Dog,6
Bopa,2,Dog,4
Border,1,Dog,6
Borgsy,1,Dog,6
Boris,23,Dog,5
Boris Holland,1,Dog,13
Borric,1,Dog,6
Borris,2,Dog,6
Borys,1,Dog,5
Bosco,6,Dog,5
Bose,1,Dog,4
Bosko,2,Dog,5
Bosley,7,Dog,6
Boss,24,Dog,4
Boss (Archie),1,Dog,13
Boss Hog,1,Dog,8
Bossco,1,Dog,6
Bosston,1,Dog,7
Bossy,1,Dog,5
Bostock,1,Dog,7
Boston,31,Dog,6
Bosun,3,Dog,5
Boswell,2,Dog,7
Bou,1,Dog,3
Bouncer,10,Dog,7
Bourbon,1,Dog,7
Bow,5,Dog,3
Bowie,9,Dog,5
Bowsa,1,Dog,5
Bowser,7,Dog,6
Bowzer,1,Dog,6
Boxer,1,Dog,5
Boy,10,Dog,3
Boy Scout,1,Dog,9
Boyd,1,Dog,4
Boyo,1,Dog,4
Boz,3,Dog,3
Bozley,1,Dog,6
Bozo,3,Dog,4
Bozzo,1,Dog,5
Bracken,2,Dog,7
Brackets,1,Dog,8
Bradley,1,Dog,7
Bradman,1,Dog,7
Brady,1,Dog,5
Brahmi,1,Dog,6
Bramble,1,Dog,7
Brambles,1,Dog,8
Brandi,9,Dog,6
Brando,1,Dog,6
Brandy,26,Dog,6
Brandy Alexander,1,Dog,16
Branko,1,Dog,6
Brax,11,Dog,4
Braxton,2,Dog,7
Brazilian,1,Dog,9
Brea,1,Dog,4
Bree,3,Dog,4
Breeza,2,Dog,6
Breeze,4,Dog,6
Brenna,1,Dog,6
Brenny,1,Dog,6
Brew,1,Dog,4
Brewster,1,Dog,8
Brewza,1,Dog,6
Brian,10,Dog,5
Brick,1,Dog,5
Bridey,1,Dog,6
Bridget,8,Dog,7
Bridgette,4,Dog,9
Bridie,7,Dog,6
Bridie Skye,1,Dog,11
Brie,3,Dog,4
Brighton,1,Dog,8
Brina,1,Dog,5
Brindle,2,Dog,7
Brindy,1,Dog,6
Brinnie,1,Dog,7
Brinny,1,Dog,6
Briony (Bree),1,Dog,13
Brit,1,Dog,4
Britt,2,Dog,5
Brittany,2,Dog,8
Briuser,1,Dog,7
Brix,2,Dog,4
Brixton,1,Dog,7
Bro,1,Dog,3
Brock,12,Dog,5
Brocky,3,Dog,6
Brodie,21,Dog,6
Brody,8,Dog,5
Bronco,1,Dog,6
Bronie,2,Dog,6
Bronnie,1,Dog,7
Bronson,27,Dog,7
Bronte,24,Dog,6
Brontie,1,Dog,7
Bronty,2,Dog,6
Bronx,8,Dog,5
Brony,1,Dog,5
Brook,2,Dog,5
Brooke,2,Dog,6
Brooklyn,2,Dog,8
Broozer,1,Dog,7
Brossy,1,Dog,6
Brouh,1,Dog,5
Browney,1,Dog,7
Brownie,4,Dog,7
Browny,3,Dog,6
Bruce,49,Dog,5
Bruce Wayne,1,Dog,11
Brucie,1,Dog,6
Brucy,1,Dog,5
Bruiser,7,Dog,7
Bruizer,1,Dog,7
Brumus,1,Dog,6
Brunno,1,Dog,6
Bruno,25,Dog,5
Brunswick,1,Dog,9
Bruny,1,Dog,5
Brutis,1,Dog,6
Brutus,16,Dog,6
Bruza,1,Dog,5
Bruzer,1,Dog,6
Bry,1,Dog,3
Bryal,1,Dog,5
Bryce,2,Dog,5
Bryndal,1,Dog,7
Brynn,2,Dog,5
Bubba,2,Dog,5
Bubbles,12,Dog,7
Bubby,2,Dog,5
Bubie,1,Dog,5
Bubs,1,Dog,4
Buck,5,Dog,4
Buckets,1,Dog,7
Buckle,1,Dog,6
Buckley,20,Dog,7
Buckli,1,Dog,6
Bucks,3,Dog,5
Bucky,1,Dog,5
Buco,1,Dog,4
Bud,7,Dog,3
Budah,1,Dog,5
Budd,2,Dog,4
Budda,1,Dog,5
Buddah,3,Dog,6
Buddha,6,Dog,6
Buddhia,1,Dog,7
Buddi,1,Dog,5
Buddie,5,Dog,6
Buddy,327,Dog,5
Buddy Love,1,Dog,10
Buddy Taylor,1,Dog,12
Buderim,1,Dog,7
Buell,1,Dog,5
BUFFER,1,Dog,6
Buffie,1,Dog,6
Buffy,63,Dog,5
Bug,1,Dog,3
Bugalugs,1,Dog,8
Bugsy,2,Dog,5
Buki,1,Dog,4
Bukie,1,Dog,5
Bukka,1,Dog,5
Bull,4,Dog,4
Bulldozer,1,Dog,9
Bullet,6,Dog,6
Bullett Merle Lightning,1,Dog,23
Bullseye,2,Dog,8
Bully,2,Dog,5
Bully c,1,Dog,7
Bumble,1,Dog,6
Bumper,1,Dog,6
Bumpy,1,Dog,5
BUNDEE,1,Dog,6
Bundi,2,Dog,5
Bundie,2,Dog,6
Bundy,47,Dog,5
Bung Eye,1,Dog,8
Bungle,1,Dog,6
Bungy,1,Dog,5
Bunji,1,Dog,5
Bunny,1,Dog,5
Bunyip,2,Dog,6
Burley,1,Dog,6
Burnie,1,Dog,6
busby,2,Dog,5
Bushka,1,Dog,6
Bushy,1,Dog,5
Busta,20,Dog,5
Buster,151,Dog,6
Bustlin,1,Dog,7
Butch,22,Dog,5
Butch Wrinkles,1,Dog,14
Butt Head,1,Dog,9
Butta,1,Dog,5
Butter,1,Dog,6
Butters,5,Dog,7
Button,5,Dog,6
Buttons,11,Dog,7
Butyok,1,Dog,6
Butzi,1,Dog,5
Buz,1,Dog,3
Buzz,18,Dog,4
Buzzter,1,Dog,7
Byron,14,Dog,5
Byson,1,Dog,5
C.C,1,Dog,3
C.C.,1,Dog,4
C.J,2,Dog,3
C.J.,2,Dog,4
Cabbie,1,Dog,6
Cadbury,8,Dog,7
Caddie,1,Dog,6
Caddy,1,Dog,5
Cadel,1,Dog,5
Cadie,1,Dog,5
Cador,1,Dog,5
CAEDAN,1,Dog,6
Caelie,1,Dog,6
Caesar,18,Dog,6
CAGE,1,Dog,4
Caiden,1,Dog,6
Cain,1,Dog,4
Caira,1,Dog,5
Caireen Carnivale,1,Dog,17
Cairo,2,Dog,5
Cal,3,Dog,3
Calev 2,1,Dog,7
Cali,4,Dog,4
Calico,1,Dog,6
Callahan,1,Dog,8
Callie,4,Dog,6
Callisto,1,Dog,8
CALVIN,4,Dog,6
Calypso,1,Dog,7
Cam,1,Dog,3
Cameron,1,Dog,7
Camilla,1,Dog,7
Camille,1,Dog,7
Campbell,4,Dog,8
Candi,1,Dog,5
Candice,2,Dog,7
Candy,22,Dog,5
Canti,1,Dog,5
Cappie,2,Dog,6
Cappy,1,Dog,5
Capri,1,Dog,5
CAPSTAN,1,Dog,7
Captain,10,Dog,7
Cara,8,Dog,4
Caramel,1,Dog,7
Caramello,2,Dog,9
Caramon,1,Dog,7
Carbie,1,Dog,6
CARBO,1,Dog,5
Carby,1,Dog,5
Cardhu,1,Dog,6
Caribelle Double Dream,1,Dog,22
Carie,1,Dog,5
Carina,1,Dog,6
Carl,4,Dog,4
Carla,4,Dog,5
Carla 2,1,Dog,7
Carlie,1,Dog,6
Carlin,1,Dog,6
Carlo,1,Dog,5
Carlos,2,Dog,6
Carlotta Ladinamica,1,Dog,19
Carly,1,Dog,5
Carmel,1,Dog,6
Carrera,1,Dog,7
Carrie,2,Dog,6
Carson,3,Dog,6
Carter,4,Dog,6
Cary,2,Dog,4
Cas,1,Dog,3
Casa,1,Dog,4
Casey,24,Dog,5
Cash,7,Dog,4
Cashew,1,Dog,6
Caspa,2,Dog,5
Caspar,2,Dog,6
Casper,24,Dog,6
CASPIAN,2,Dog,7
Cass,4,Dog,4
Cassandra,1,Dog,9
Cassanova,1,Dog,9
Cassi,1,Dog,5
Cassidy,2,Dog,7
Cassie,43,Dog,6
Cassius,1,Dog,7
Cassy,2,Dog,5
Casta,1,Dog,5
Casy,1,Dog,4
Catriona,1,Dog,8
Cauze,1,Dog,5
Cavvy,1,Dog,5
Cayla,1,Dog,5
CC,4,Dog,2
CD,1,Dog,2
Ceasar,4,Dog,6
Ceaser,1,Dog,6
Ceazar,1,Dog,6
Cece,1,Dog,4
Cecelia,1,Dog,7
Cecil,2,Dog,5
Cedar,1,Dog,5
Cee Cee,1,Dog,7
Ceejay,1,Dog,6
Ceilidh,1,Dog,7
Celeste,2,Dog,7
Cena,3,Dog,4
Cera,1,Dog,4
Cerebus,1,Dog,7
Cesar,1,Dog,5
Cesear,1,Dog,6
Ceser,1,Dog,5
Cess,2,Dog,4
Cha Cha,1,Dog,7
Cha Chi,1,Dog,7
Chablis,1,Dog,7
Chace,1,Dog,5
Chachi,3,Dog,6
Chad,9,Dog,4
Chadow,1,Dog,6
Chai,3,Dog,4
Chain,1,Dog,5
Chaise,1,Dog,6
Chalsi,1,Dog,6
Champ,4,Dog,5
Champagne Oliver (Oliver),1,Dog,25
